dimension,feature,selected,weight,availability,max_selected_corr
breakout,ma_stack_soft_norm,True,0.31238611952674084,9824,0.4776141493461264
breakout,donchian_breakout_20_norm,True,0.2550004537084954,10418,0.5678539905217093
breakout,range_pct_20_norm,True,0.22534221601220403,10424,0.7039136378619066
breakout,range_pct_60_norm,True,0.20727121075255986,10184,0.7039136378619066
consistency,switch_stability_60_norm,True,0.4111768828322353,10184,0.1061884255174573
consistency,sign_mean_60_norm,True,0.2991525869567002,10184,0.5406428042357314
consistency,sign_mean_20_norm,True,0.2896705302110646,10424,0.5406428042357314
consistency,consistency_switch_adjusted_20_norm,False,0.0,10424,
drawdown,drawdown_return_to_mae_60_norm,True,0.5,10178,0.6898878294927898
drawdown,drawdown_retention_60_norm,True,0.5,10178,0.6898878294927898
drawdown,drawdown_ulcer_ratio_60_norm,False,0.0,10178,
smoothness,smooth_signed_er_20_norm,True,0.5,10413,0.47870987697762146
smoothness,smooth_signed_er_60_norm,True,0.5,10177,0.47870987697762146
smoothness,smooth_path_ratio_20_norm,False,0.0,10418,
smoothness,smooth_path_ratio_60_norm,False,0.0,10178,
strength,strength_ret_120_norm,True,0.2804335288165887,9818,0.520447191062557
strength,strength_ret_20_norm,True,0.25805457828120526,10418,0.7437246458484986
strength,strength_ret_60_norm,True,0.24045838048257842,10178,0.7600968422671985
strength,strength_ma_gap_60_norm,True,0.2210535124196275,10184,0.7600968422671985
strength,strength_slope_20_norm,False,0.0,10418,
